H|182789|26-DEC-2017|1243401|DT|P|F
P|R|26-DEC-2017|2|1|MNSI|10
P|R|26-DEC-2017|2|1|NYSI|-3
P|R|26-DEC-2017|2|1|ONZN|-3
P|R|26-DEC-2017|2|1|PQAT|-3
P|R|26-DEC-2017|2|1|PQBE|-3
P|R|26-DEC-2017|2|1|PQDA|-3
P|R|26-DEC-2017|2|1|PQDZ|-3
P|R|26-DEC-2017|2|1|PQHA|-3
P|R|26-DEC-2017|2|1|PQHZ|-3
P|R|26-DEC-2017|2|1|PQPC|-3
P|R|26-DEC-2017|2|1|PQQC|-3
P|R|26-DEC-2017|2|1|PQSK|-3
P|R|26-DEC-2017|2|1|PQXY|-3
P|R|26-DEC-2017|2|2|MBSI|15
P|R|26-DEC-2017|2|2|MISI|22.02
P|R|26-DEC-2017|2|2|MNSI|10
P|R|26-DEC-2017|2|2|NYSI|-3
P|R|26-DEC-2017|2|2|ONZN|-3
P|R|26-DEC-2017|2|2|PQAT|-3
P|R|26-DEC-2017|2|2|PQBE|-3
P|R|26-DEC-2017|2|2|PQDA|-3
P|R|26-DEC-2017|2|2|PQDZ|-3
P|R|26-DEC-2017|2|2|PQHA|-3
P|R|26-DEC-2017|2|2|PQHZ|-3
P|R|26-DEC-2017|2|2|PQPC|-3
P|R|26-DEC-2017|2|2|PQQC|-3
P|R|26-DEC-2017|2|2|PQSK|-3
P|R|26-DEC-2017|2|2|PQXY|-3
P|R|26-DEC-2017|2|3|MBSI|15
P|R|26-DEC-2017|2|3|MISI|22.02
P|R|26-DEC-2017|2|3|MNSI|10
P|R|26-DEC-2017|2|3|NYSI|-3
P|R|26-DEC-2017|2|3|ONZN|-3
P|R|26-DEC-2017|2|3|PQAT|-3
P|R|26-DEC-2017|2|3|PQBE|-3
P|R|26-DEC-2017|2|3|PQDA|-3
P|R|26-DEC-2017|2|3|PQDZ|-3
P|R|26-DEC-2017|2|3|PQHA|-3
P|R|26-DEC-2017|2|3|PQHZ|-3
P|R|26-DEC-2017|2|3|PQPC|-3
P|R|26-DEC-2017|2|3|PQQC|-3
P|R|26-DEC-2017|2|3|PQSK|-3
P|R|26-DEC-2017|2|3|PQXY|-3
P|R|26-DEC-2017|2|4|MBSI|15
P|R|26-DEC-2017|2|4|MISI|22.02
P|R|26-DEC-2017|2|4|MNSI|10
P|R|26-DEC-2017|2|4|NYSI|-3
P|R|26-DEC-2017|2|4|ONZN|-3
P|R|26-DEC-2017|2|4|PQAT|-3
P|R|26-DEC-2017|2|4|PQBE|-3
P|R|26-DEC-2017|2|4|PQDA|-3
P|R|26-DEC-2017|2|4|PQDZ|-3
P|R|26-DEC-2017|2|4|PQHA|-3
P|R|26-DEC-2017|2|4|PQHZ|-3
P|R|26-DEC-2017|2|4|PQPC|-3
P|R|26-DEC-2017|2|4|PQQC|-3
P|R|26-DEC-2017|2|4|PQSK|-3
P|R|26-DEC-2017|2|4|PQXY|-3
P|R|26-DEC-2017|2|5|MBSI|15
P|R|26-DEC-2017|2|5|MISI|22.02
P|R|26-DEC-2017|2|5|MNSI|10
P|R|26-DEC-2017|2|5|NYSI|-3
P|R|26-DEC-2017|2|5|ONZN|-3
P|R|26-DEC-2017|2|5|PQAT|-3
P|R|26-DEC-2017|2|5|PQBE|-3
P|R|26-DEC-2017|2|5|PQDA|-3
P|R|26-DEC-2017|2|5|PQDZ|-3
P|R|26-DEC-2017|2|5|PQHA|-3
P|R|26-DEC-2017|2|5|PQHZ|-3
P|R|26-DEC-2017|2|5|PQPC|-3
P|R|26-DEC-2017|2|5|PQQC|-3
P|R|26-DEC-2017|2|5|PQSK|-3
P|R|26-DEC-2017|2|5|PQXY|-3
P|R|26-DEC-2017|2|6|MBSI|15
P|R|26-DEC-2017|2|6|MISI|22.02
P|R|26-DEC-2017|2|6|MNSI|10
P|R|26-DEC-2017|2|6|NYSI|-3
P|R|26-DEC-2017|2|6|ONZN|-3
P|R|26-DEC-2017|2|6|PQAT|-3
P|R|26-DEC-2017|2|6|PQBE|-3
P|R|26-DEC-2017|2|6|PQDA|-3
P|R|26-DEC-2017|2|6|PQDZ|-3
P|R|26-DEC-2017|2|6|PQHA|-3
P|R|26-DEC-2017|2|6|PQHZ|-3
P|R|26-DEC-2017|2|6|PQPC|-3
P|R|26-DEC-2017|2|6|PQQC|-3
P|R|26-DEC-2017|2|6|PQSK|-3
P|R|26-DEC-2017|2|6|PQXY|-3
P|R|26-DEC-2017|2|7|MBSI|15
P|R|26-DEC-2017|2|7|MISI|22.02
P|R|26-DEC-2017|2|7|MNSI|10
P|R|26-DEC-2017|2|7|NYSI|-3
P|R|26-DEC-2017|2|7|ONZN|-3
P|R|26-DEC-2017|2|7|PQAT|-3
P|R|26-DEC-2017|2|7|PQBE|-3
P|R|26-DEC-2017|2|7|PQDA|-3
P|R|26-DEC-2017|2|7|PQDZ|-3
P|R|26-DEC-2017|2|7|PQHA|-3
P|R|26-DEC-2017|2|7|PQHZ|-3
P|R|26-DEC-2017|2|7|PQPC|-3
P|R|26-DEC-2017|2|7|PQQC|-3
P|R|26-DEC-2017|2|7|PQSK|-3
P|R|26-DEC-2017|2|7|PQXY|-3
P|R|26-DEC-2017|2|8|MBSI|15
P|R|26-DEC-2017|2|8|MISI|22.02
P|R|26-DEC-2017|2|8|MNSI|10
P|R|26-DEC-2017|2|8|NYSI|-3
P|R|26-DEC-2017|2|8|ONZN|-3
P|R|26-DEC-2017|2|8|PQAT|-3
P|R|26-DEC-2017|2|8|PQBE|-3
