H|182789|27-SEP-2017|1220238|DT|P|F
P|R|27-SEP-2017|3|2|PQDA|0
P|R|27-SEP-2017|3|2|PQDZ|0
P|R|27-SEP-2017|3|2|PQHA|0
P|R|27-SEP-2017|3|2|PQHZ|0
P|R|27-SEP-2017|3|2|PQPC|0
P|R|27-SEP-2017|3|2|PQQC|0
P|R|27-SEP-2017|3|2|PQSK|0
P|R|27-SEP-2017|3|2|PQXY|0
P|R|27-SEP-2017|3|3|MBSI|0
P|R|27-SEP-2017|3|3|MISI|6.59
P|R|27-SEP-2017|3|3|MNSI|0
P|R|27-SEP-2017|3|3|NYSI|0
P|R|27-SEP-2017|3|3|ONZN|0
P|R|27-SEP-2017|3|3|PQAT|-.75
P|R|27-SEP-2017|3|3|PQBE|0
P|R|27-SEP-2017|3|3|PQDA|0
P|R|27-SEP-2017|3|3|PQDZ|0
P|R|27-SEP-2017|3|3|PQHA|0
P|R|27-SEP-2017|3|3|PQHZ|0
P|R|27-SEP-2017|3|3|PQPC|0
P|R|27-SEP-2017|3|3|PQQC|0
P|R|27-SEP-2017|3|3|PQSK|0
P|R|27-SEP-2017|3|3|PQXY|0
P|R|27-SEP-2017|3|4|MBSI|4.8
P|R|27-SEP-2017|3|4|MISI|11.39
P|R|27-SEP-2017|3|4|MNSI|4.8
P|R|27-SEP-2017|3|4|NYSI|4.8
P|R|27-SEP-2017|3|4|ONZN|4.8
P|R|27-SEP-2017|3|4|PQAT|4.05
P|R|27-SEP-2017|3|4|PQBE|4.8
P|R|27-SEP-2017|3|4|PQDA|4.8
P|R|27-SEP-2017|3|4|PQDZ|4.8
P|R|27-SEP-2017|3|4|PQHA|4.8
P|R|27-SEP-2017|3|4|PQHZ|4.8
P|R|27-SEP-2017|3|4|PQPC|4.8
P|R|27-SEP-2017|3|4|PQQC|4.8
P|R|27-SEP-2017|3|4|PQSK|4.8
P|R|27-SEP-2017|3|4|PQXY|4.8
P|R|27-SEP-2017|3|5|MBSI|5.11
P|R|27-SEP-2017|3|5|MISI|11.7
P|R|27-SEP-2017|3|5|MNSI|5.11
P|R|27-SEP-2017|3|5|NYSI|5.11
P|R|27-SEP-2017|3|5|ONZN|5.11
P|R|27-SEP-2017|3|5|PQAT|4.36
P|R|27-SEP-2017|3|5|PQBE|5.11
P|R|27-SEP-2017|3|5|PQDA|5.11
P|R|27-SEP-2017|3|5|PQDZ|5.11
P|R|27-SEP-2017|3|5|PQHA|5.11
P|R|27-SEP-2017|3|5|PQHZ|5.11
P|R|27-SEP-2017|3|5|PQPC|5.11
P|R|27-SEP-2017|3|5|PQQC|5.11
P|R|27-SEP-2017|3|5|PQSK|5.11
P|R|27-SEP-2017|3|5|PQXY|5.11
P|R|27-SEP-2017|3|6|MBSI|0
P|R|27-SEP-2017|3|6|MISI|6.59
P|R|27-SEP-2017|3|6|MNSI|0
P|R|27-SEP-2017|3|6|NYSI|0
P|R|27-SEP-2017|3|6|ONZN|0
P|R|27-SEP-2017|3|6|PQAT|-.75
P|R|27-SEP-2017|3|6|PQBE|0
P|R|27-SEP-2017|3|6|PQDA|0
P|R|27-SEP-2017|3|6|PQDZ|0
P|R|27-SEP-2017|3|6|PQHA|0
P|R|27-SEP-2017|3|6|PQHZ|0
P|R|27-SEP-2017|3|6|PQPC|0
P|R|27-SEP-2017|3|6|PQQC|0
P|R|27-SEP-2017|3|6|PQSK|0
P|R|27-SEP-2017|3|6|PQXY|0
P|R|27-SEP-2017|3|7|MBSI|4.8
P|R|27-SEP-2017|3|7|MISI|11.39
P|R|27-SEP-2017|3|7|MNSI|4.8
P|R|27-SEP-2017|3|7|NYSI|4.8
P|R|27-SEP-2017|3|7|ONZN|4.8
P|R|27-SEP-2017|3|7|PQAT|4.05
P|R|27-SEP-2017|3|7|PQBE|4.8
P|R|27-SEP-2017|3|7|PQDA|4.8
P|R|27-SEP-2017|3|7|PQDZ|4.8
P|R|27-SEP-2017|3|7|PQHA|4.8
P|R|27-SEP-2017|3|7|PQHZ|4.8
P|R|27-SEP-2017|3|7|PQPC|4.8
P|R|27-SEP-2017|3|7|PQQC|4.8
P|R|27-SEP-2017|3|7|PQSK|4.8
P|R|27-SEP-2017|3|7|PQXY|4.8
P|R|27-SEP-2017|3|8|MBSI|0
P|R|27-SEP-2017|3|8|MISI|6.59
P|R|27-SEP-2017|3|8|MNSI|0
P|R|27-SEP-2017|3|8|NYSI|0
P|R|27-SEP-2017|3|8|ONZN|0
P|R|27-SEP-2017|3|8|PQAT|-.75
P|R|27-SEP-2017|3|8|PQBE|0
P|R|27-SEP-2017|3|8|PQDA|0
P|R|27-SEP-2017|3|8|PQDZ|0
P|R|27-SEP-2017|3|8|PQHA|0
P|R|27-SEP-2017|3|8|PQHZ|0
P|R|27-SEP-2017|3|8|PQPC|0
P|R|27-SEP-2017|3|8|PQQC|0
P|R|27-SEP-2017|3|8|PQSK|0
P|R|27-SEP-2017|3|8|PQXY|0
P|R|27-SEP-2017|3|9|MBSI|0
P|R|27-SEP-2017|3|9|MISI|6.59
P|R|27-SEP-2017|3|9|MNSI|0
P|R|27-SEP-2017|3|9|NYSI|0
P|R|27-SEP-2017|3|9|ONZN|0
P|R|27-SEP-2017|3|9|PQAT|-.75
P|R|27-SEP-2017|3|9|PQBE|0
P|R|27-SEP-2017|3|9|PQDA|0
P|R|27-SEP-2017|3|9|PQDZ|0
P|R|27-SEP-2017|3|9|PQHA|0
P|R|27-SEP-2017|3|9|PQHZ|0
