H|182789|04-JUL-2017|1198552|DT|P|F
P|R|04-JUL-2017|1|7|PQXY|-4.4
P|R|04-JUL-2017|1|8|MBSI|-4.4
P|R|04-JUL-2017|1|8|MISI|22.15
P|R|04-JUL-2017|1|8|MNSI|18.9
P|R|04-JUL-2017|1|8|NYSI|12.4
P|R|04-JUL-2017|1|8|ONZN|-4.4
P|R|04-JUL-2017|1|8|PQAT|-4.4
P|R|04-JUL-2017|1|8|PQBE|-4.4
P|R|04-JUL-2017|1|8|PQDA|-4.4
P|R|04-JUL-2017|1|8|PQDZ|-4.4
P|R|04-JUL-2017|1|8|PQHA|-4.4
P|R|04-JUL-2017|1|8|PQHZ|-4.4
P|R|04-JUL-2017|1|8|PQPC|-4.4
P|R|04-JUL-2017|1|8|PQQC|-4.4
P|R|04-JUL-2017|1|8|PQSK|-4.4
P|R|04-JUL-2017|1|8|PQXY|-4.4
P|R|04-JUL-2017|1|9|MBSI|-4.4
P|R|04-JUL-2017|1|9|MISI|22.15
P|R|04-JUL-2017|1|9|MNSI|18.9
P|R|04-JUL-2017|1|9|NYSI|12.4
P|R|04-JUL-2017|1|9|ONZN|-4.4
P|R|04-JUL-2017|1|9|PQAT|-4.4
P|R|04-JUL-2017|1|9|PQBE|-4.4
P|R|04-JUL-2017|1|9|PQDA|-4.4
P|R|04-JUL-2017|1|9|PQDZ|-4.4
P|R|04-JUL-2017|1|9|PQHA|-4.4
P|R|04-JUL-2017|1|9|PQHZ|-4.4
P|R|04-JUL-2017|1|9|PQPC|-4.4
P|R|04-JUL-2017|1|9|PQQC|-4.4
P|R|04-JUL-2017|1|9|PQSK|-4.4
P|R|04-JUL-2017|1|9|PQXY|-4.4
P|R|04-JUL-2017|1|10|MBSI|-4.5
P|R|04-JUL-2017|1|10|MISI|22.05
P|R|04-JUL-2017|1|10|MNSI|18.8
P|R|04-JUL-2017|1|10|NYSI|12.3
P|R|04-JUL-2017|1|10|ONZN|-4.5
P|R|04-JUL-2017|1|10|PQAT|-4.5
P|R|04-JUL-2017|1|10|PQBE|-4.5
P|R|04-JUL-2017|1|10|PQDA|-4.5
P|R|04-JUL-2017|1|10|PQDZ|-4.5
P|R|04-JUL-2017|1|10|PQHA|-4.5
P|R|04-JUL-2017|1|10|PQHZ|-4.5
P|R|04-JUL-2017|1|10|PQPC|-4.5
P|R|04-JUL-2017|1|10|PQQC|-4.5
P|R|04-JUL-2017|1|10|PQSK|-4.5
P|R|04-JUL-2017|1|10|PQXY|-4.5
P|R|04-JUL-2017|1|11|MBSI|-4.5
P|R|04-JUL-2017|1|11|MISI|22.05
P|R|04-JUL-2017|1|11|MNSI|18.8
P|R|04-JUL-2017|1|11|NYSI|12.3
P|R|04-JUL-2017|1|11|ONZN|-4.5
P|R|04-JUL-2017|1|11|PQAT|-4.5
P|R|04-JUL-2017|1|11|PQBE|-4.5
P|R|04-JUL-2017|1|11|PQDA|-4.5
P|R|04-JUL-2017|1|11|PQDZ|-4.5
P|R|04-JUL-2017|1|11|PQHA|-4.5
P|R|04-JUL-2017|1|11|PQHZ|-4.5
P|R|04-JUL-2017|1|11|PQPC|-4.5
P|R|04-JUL-2017|1|11|PQQC|-4.5
P|R|04-JUL-2017|1|11|PQSK|-4.5
P|R|04-JUL-2017|1|11|PQXY|-4.5
P|R|04-JUL-2017|1|12|MBSI|-4.5
P|R|04-JUL-2017|1|12|MISI|22.05
P|R|04-JUL-2017|1|12|MNSI|18.8
P|R|04-JUL-2017|1|12|NYSI|12.3
P|R|04-JUL-2017|1|12|ONZN|-4.5
P|R|04-JUL-2017|1|12|PQAT|-4.5
P|R|04-JUL-2017|1|12|PQBE|-4.5
P|R|04-JUL-2017|1|12|PQDA|-4.5
P|R|04-JUL-2017|1|12|PQDZ|-4.5
P|R|04-JUL-2017|1|12|PQHA|-4.5
P|R|04-JUL-2017|1|12|PQHZ|-4.5
P|R|04-JUL-2017|1|12|PQPC|-4.5
P|R|04-JUL-2017|1|12|PQQC|-4.5
P|R|04-JUL-2017|1|12|PQSK|-4.5
P|R|04-JUL-2017|1|12|PQXY|-4.5
P|H|04-JUL-2017|2|0|ONZN|-4.52
P|R|04-JUL-2017|2|1|MBSI|-4.5
P|R|04-JUL-2017|2|1|MISI|21.05
P|R|04-JUL-2017|2|1|MNSI|16.9
P|R|04-JUL-2017|2|1|NYSI|10.4
P|R|04-JUL-2017|2|1|ONZN|-4.5
P|R|04-JUL-2017|2|1|PQAT|-4.5
P|R|04-JUL-2017|2|1|PQBE|-4.5
P|R|04-JUL-2017|2|1|PQDA|-4.5
P|R|04-JUL-2017|2|1|PQDZ|-4.5
P|R|04-JUL-2017|2|1|PQHA|-4.5
P|R|04-JUL-2017|2|1|PQHZ|-4.5
P|R|04-JUL-2017|2|1|PQPC|-4.5
P|R|04-JUL-2017|2|1|PQQC|-4.5
P|R|04-JUL-2017|2|1|PQSK|-4.5
P|R|04-JUL-2017|2|1|PQXY|-4.5
P|R|04-JUL-2017|2|2|MBSI|-4.5
P|R|04-JUL-2017|2|2|MISI|21.05
P|R|04-JUL-2017|2|2|MNSI|16.9
P|R|04-JUL-2017|2|2|NYSI|10.4
P|R|04-JUL-2017|2|2|ONZN|-4.5
P|R|04-JUL-2017|2|2|PQAT|-4.5
P|R|04-JUL-2017|2|2|PQBE|-4.5
P|R|04-JUL-2017|2|2|PQDA|-4.5
P|R|04-JUL-2017|2|2|PQDZ|-4.5
P|R|04-JUL-2017|2|2|PQHA|-4.5
P|R|04-JUL-2017|2|2|PQHZ|-4.5
P|R|04-JUL-2017|2|2|PQPC|-4.5
P|R|04-JUL-2017|2|2|PQQC|-4.5
P|R|04-JUL-2017|2|2|PQSK|-4.5
P|R|04-JUL-2017|2|2|PQXY|-4.5
P|R|04-JUL-2017|2|3|MBSI|-4.5
P|R|04-JUL-2017|2|3|MISI|21.05
P|R|04-JUL-2017|2|3|MNSI|16.9
P|R|04-JUL-2017|2|3|NYSI|10.4
P|R|04-JUL-2017|2|3|ONZN|-4.5
P|R|04-JUL-2017|2|3|PQAT|-4.5
P|R|04-JUL-2017|2|3|PQBE|-4.5
P|R|04-JUL-2017|2|3|PQDA|-4.5
P|R|04-JUL-2017|2|3|PQDZ|-4.5
P|R|04-JUL-2017|2|3|PQHA|-4.5
P|R|04-JUL-2017|2|3|PQHZ|-4.5
P|R|04-JUL-2017|2|3|PQPC|-4.5
P|R|04-JUL-2017|2|3|PQQC|-4.5
P|R|04-JUL-2017|2|3|PQSK|-4.5
P|R|04-JUL-2017|2|3|PQXY|-4.5
P|R|04-JUL-2017|2|4|MBSI|-4.5
P|R|04-JUL-2017|2|4|MISI|21.05
P|R|04-JUL-2017|2|4|MNSI|16.9
P|R|04-JUL-2017|2|4|NYSI|10.4
P|R|04-JUL-2017|2|4|ONZN|-4.5
P|R|04-JUL-2017|2|4|PQAT|-4.5
P|R|04-JUL-2017|2|4|PQBE|-4.5
P|R|04-JUL-2017|2|4|PQDA|-4.5
P|R|04-JUL-2017|2|4|PQDZ|-4.5
P|R|04-JUL-2017|2|4|PQHA|-4.5
P|R|04-JUL-2017|2|4|PQHZ|-4.5
P|R|04-JUL-2017|2|4|PQPC|-4.5
P|R|04-JUL-2017|2|4|PQQC|-4.5
P|R|04-JUL-2017|2|4|PQSK|-4.5
P|R|04-JUL-2017|2|4|PQXY|-4.5
P|R|04-JUL-2017|2|5|MBSI|-4.5
P|R|04-JUL-2017|2|5|MISI|21.05
P|R|04-JUL-2017|2|5|MNSI|16.9
P|R|04-JUL-2017|2|5|NYSI|10.4
P|R|04-JUL-2017|2|5|ONZN|-4.5
P|R|04-JUL-2017|2|5|PQAT|-4.5
P|R|04-JUL-2017|2|5|PQBE|-4.5
P|R|04-JUL-2017|2|5|PQDA|-4.5
P|R|04-JUL-2017|2|5|PQDZ|-4.5
P|R|04-JUL-2017|2|5|PQHA|-4.5
P|R|04-JUL-2017|2|5|PQHZ|-4.5
P|R|04-JUL-2017|2|5|PQPC|-4.5
P|R|04-JUL-2017|2|5|PQQC|-4.5
P|R|04-JUL-2017|2|5|PQSK|-4.5
P|R|04-JUL-2017|2|5|PQXY|-4.5
P|R|04-JUL-2017|2|6|MBSI|-4.5
P|R|04-JUL-2017|2|6|MISI|21.05
P|R|04-JUL-2017|2|6|MNSI|16.9
P|R|04-JUL-2017|2|6|NYSI|10.4
P|R|04-JUL-2017|2|6|ONZN|-4.5
P|R|04-JUL-2017|2|6|PQAT|-4.5
P|R|04-JUL-2017|2|6|PQBE|-4.5
P|R|04-JUL-2017|2|6|PQDA|-4.5
P|R|04-JUL-2017|2|6|PQDZ|-4.5
P|R|04-JUL-2017|2|6|PQHA|-4.5
P|R|04-JUL-2017|2|6|PQHZ|-4.5
P|R|04-JUL-2017|2|6|PQPC|-4.5
P|R|04-JUL-2017|2|6|PQQC|-4.5
P|R|04-JUL-2017|2|6|PQSK|-4.5
P|R|04-JUL-2017|2|6|PQXY|-4.5
P|R|04-JUL-2017|2|7|MBSI|-4.5
P|R|04-JUL-2017|2|7|MISI|21.05
P|R|04-JUL-2017|2|7|MNSI|16.9
P|R|04-JUL-2017|2|7|NYSI|10.4
P|R|04-JUL-2017|2|7|ONZN|-4.5
P|R|04-JUL-2017|2|7|PQAT|-4.5
P|R|04-JUL-2017|2|7|PQBE|-4.5
P|R|04-JUL-2017|2|7|PQDA|-4.5
P|R|04-JUL-2017|2|7|PQDZ|-4.5
P|R|04-JUL-2017|2|7|PQHA|-4.5
P|R|04-JUL-2017|2|7|PQHZ|-4.5
P|R|04-JUL-2017|2|7|PQPC|-4.5
P|R|04-JUL-2017|2|7|PQQC|-4.5
P|R|04-JUL-2017|2|7|PQSK|-4.5
P|R|04-JUL-2017|2|7|PQXY|-4.5
P|R|04-JUL-2017|2|8|MBSI|-4.5
P|R|04-JUL-2017|2|8|MISI|21.05
P|R|04-JUL-2017|2|8|MNSI|16.9
P|R|04-JUL-2017|2|8|NYSI|10.4
P|R|04-JUL-2017|2|8|ONZN|-4.5
P|R|04-JUL-2017|2|8|PQAT|-4.5
P|R|04-JUL-2017|2|8|PQBE|-4.5
P|R|04-JUL-2017|2|8|PQDA|-4.5
P|R|04-JUL-2017|2|8|PQDZ|-4.5
P|R|04-JUL-2017|2|8|PQHA|-4.5
P|R|04-JUL-2017|2|8|PQHZ|-4.5
P|R|04-JUL-2017|2|8|PQPC|-4.5
P|R|04-JUL-2017|2|8|PQQC|-4.5
P|R|04-JUL-2017|2|8|PQSK|-4.5
P|R|04-JUL-2017|2|8|PQXY|-4.5
P|R|04-JUL-2017|2|9|MBSI|-4.5
P|R|04-JUL-2017|2|9|MISI|21.05
P|R|04-JUL-2017|2|9|MNSI|16.9
P|R|04-JUL-2017|2|9|NYSI|10.4
P|R|04-JUL-2017|2|9|ONZN|-4.5
P|R|04-JUL-2017|2|9|PQAT|-4.5
P|R|04-JUL-2017|2|9|PQBE|-4.5
P|R|04-JUL-2017|2|9|PQDA|-4.5
P|R|04-JUL-2017|2|9|PQDZ|-4.5
P|R|04-JUL-2017|2|9|PQHA|-4.5
P|R|04-JUL-2017|2|9|PQHZ|-4.5
P|R|04-JUL-2017|2|9|PQPC|-4.5
P|R|04-JUL-2017|2|9|PQQC|-4.5
P|R|04-JUL-2017|2|9|PQSK|-4.5
P|R|04-JUL-2017|2|9|PQXY|-4.5
P|R|04-JUL-2017|2|10|MBSI|-4.5
P|R|04-JUL-2017|2|10|MISI|21.05
P|R|04-JUL-2017|2|10|MNSI|16.9
P|R|04-JUL-2017|2|10|NYSI|10.4
P|R|04-JUL-2017|2|10|ONZN|-4.5
P|R|04-JUL-2017|2|10|PQAT|-4.5
P|R|04-JUL-2017|2|10|PQBE|-4.5
P|R|04-JUL-2017|2|10|PQDA|-4.5
P|R|04-JUL-2017|2|10|PQDZ|-4.5
P|R|04-JUL-2017|2|10|PQHA|-4.5
P|R|04-JUL-2017|2|10|PQHZ|-4.5
P|R|04-JUL-2017|2|10|PQPC|-4.5
P|R|04-JUL-2017|2|10|PQQC|-4.5
P|R|04-JUL-2017|2|10|PQSK|-4.5
P|R|04-JUL-2017|2|10|PQXY|-4.5
P|R|04-JUL-2017|2|11|MBSI|-4.5
P|R|04-JUL-2017|2|11|MISI|21.05
P|R|04-JUL-2017|2|11|MNSI|16.9
P|R|04-JUL-2017|2|11|NYSI|10.4
P|R|04-JUL-2017|2|11|ONZN|-4.5
P|R|04-JUL-2017|2|11|PQAT|-4.5
P|R|04-JUL-2017|2|11|PQBE|-4.5
P|R|04-JUL-2017|2|11|PQDA|-4.5
P|R|04-JUL-2017|2|11|PQDZ|-4.5
P|R|04-JUL-2017|2|11|PQHA|-4.5
P|R|04-JUL-2017|2|11|PQHZ|-4.5
P|R|04-JUL-2017|2|11|PQPC|-4.5
P|R|04-JUL-2017|2|11|PQQC|-4.5
P|R|04-JUL-2017|2|11|PQSK|-4.5
P|R|04-JUL-2017|2|11|PQXY|-4.5
P|R|04-JUL-2017|2|12|MBSI|-4.7
P|R|04-JUL-2017|2|12|MISI|20.85
P|R|04-JUL-2017|2|12|MNSI|16.7
P|R|04-JUL-2017|2|12|NYSI|10.2
P|R|04-JUL-2017|2|12|ONZN|-4.7
P|R|04-JUL-2017|2|12|PQAT|-4.7
P|R|04-JUL-2017|2|12|PQBE|-4.7
P|R|04-JUL-2017|2|12|PQDA|-4.7
P|R|04-JUL-2017|2|12|PQDZ|-4.7
P|R|04-JUL-2017|2|12|PQHA|-4.7
P|R|04-JUL-2017|2|12|PQHZ|-4.7
P|R|04-JUL-2017|2|12|PQPC|-4.7
P|R|04-JUL-2017|2|12|PQQC|-4.7
P|R|04-JUL-2017|2|12|PQSK|-4.7
P|R|04-JUL-2017|2|12|PQXY|-4.7
P|H|04-JUL-2017|3|0|ONZN|-4.62
P|R|04-JUL-2017|3|1|MBSI|-4.5
P|R|04-JUL-2017|3|1|MISI|22.22
P|R|04-JUL-2017|3|1|MNSI|16
P|R|04-JUL-2017|3|1|NYSI|5.09
P|R|04-JUL-2017|3|1|ONZN|-4.5
P|R|04-JUL-2017|3|1|PQAT|-4.5
P|R|04-JUL-2017|3|1|PQBE|-4.5
P|R|04-JUL-2017|3|1|PQDA|-4.5
P|R|04-JUL-2017|3|1|PQDZ|-4.5
P|R|04-JUL-2017|3|1|PQHA|-4.5
P|R|04-JUL-2017|3|1|PQHZ|-4.5
P|R|04-JUL-2017|3|1|PQPC|-4.5
P|R|04-JUL-2017|3|1|PQQC|-4.5
P|R|04-JUL-2017|3|1|PQSK|-4.5
P|R|04-JUL-2017|3|1|PQXY|-4.5
P|R|04-JUL-2017|3|2|MBSI|-4.5
P|R|04-JUL-2017|3|2|MISI|22.22
P|R|04-JUL-2017|3|2|MNSI|16
P|R|04-JUL-2017|3|2|NYSI|5.09
P|R|04-JUL-2017|3|2|ONZN|-4.5
P|R|04-JUL-2017|3|2|PQAT|-4.5
